mall,tahun,bulan,item,jumlah
ewalk,2025,1,Tikus,44
ewalk,2025,2,Tikus,56
ewalk,2025,3,Tikus,65
ewalk,2025,4,Tikus,40
ewalk,2025,5,Tikus,47
ewalk,2025,6,Tikus,38
ewalk,2025,7,Tikus,61
ewalk,2025,8,Tikus,30
ewalk,2025,9,Tikus,18
ewalk,2025,10,Tikus,45
ewalk,2025,11,Tikus,12
ewalk,2025,12,Tikus,40
ewalk,2025,1,Kucing,3
ewalk,2025,3,Kucing,1
ewalk,2025,4,Kucing,2
ewalk,2025,5,Kucing,1
ewalk,2025,6,Kucing,3
ewalk,2025,9,Kucing,1
ewalk,2025,10,Kucing,1
ewalk,2025,11,Kucing,1
ewalk,2025,12,Kucing,2
ewalk,2025,4,Biawak,1
ewalk,2025,5,Biawak,1
ewalk,2025,11,Biawak,1
ewalk,2025,2,Kecoa,250
ewalk,2025,3,Kecoa,125
ewalk,2025,4,Kecoa,130
ewalk,2025,5,Kecoa,61
ewalk,2025,6,Kecoa,104
ewalk,2025,7,Kecoa,73
ewalk,2025,8,Kecoa,93
ewalk,2025,9,Kecoa,80
ewalk,2025,12,Kecoa,25
ewalk,2025,5,Lalat,30
ewalk,2025,7,Lalat,127
ewalk,2025,4,Ular,1
pentacity,2025,1,Tikus,59
pentacity,2025,2,Tikus,82
pentacity,2025,3,Tikus,55
pentacity,2025,4,Tikus,55
pentacity,2025,5,Tikus,74
pentacity,2025,6,Tikus,52
pentacity,2025,7,Tikus,62
pentacity,2025,8,Tikus,74
pentacity,2025,9,Tikus,33
pentacity,2025,10,Tikus,28
pentacity,2025,11,Tikus,31
pentacity,2025,12,Tikus,28
pentacity,2025,2,Kucing,3
pentacity,2025,3,Kucing,1
pentacity,2025,4,Kucing,1
pentacity,2025,5,Kucing,3
pentacity,2025,8,Kucing,2
pentacity,2025,9,Kucing,1
pentacity,2025,10,Kucing,4
pentacity,2025,12,Kucing,1
pentacity,2025,5,Biawak,1
pentacity,2025,6,Biawak,1
pentacity,2025,8,Biawak,1
pentacity,2025,10,Biawak,2
pentacity,2025,12,Biawak,1
pentacity,2025,1,Kecoa,2
pentacity,2025,2,Kecoa,20
pentacity,2025,3,Kecoa,70
pentacity,2025,5,Kecoa,96
pentacity,2025,6,Kecoa,177
pentacity,2025,7,Kecoa,130
pentacity,2025,8,Kecoa,67
pentacity,2025,9,Kecoa,65
pentacity,2025,12,Kecoa,90
pentacity,2025,4,Ular,1
ewalk,2026,1,Tikus,41
ewalk,2026,2,Tikus,34
ewalk,2026,3,Tikus,30
ewalk,2026,4,Tikus,41
ewalk,2026,5,Tikus,41
ewalk,2026,6,Tikus,8
ewalk,2026,7,Tikus,40
ewalk,2026,8,Tikus,43
ewalk,2026,9,Tikus,19
ewalk,2026,3,Kucing,7
ewalk,2026,4,Kucing,1
ewalk,2026,5,Kucing,3
ewalk,2026,6,Kucing,1
ewalk,2026,7,Kucing,3
ewalk,2026,8,Kucing,1
ewalk,2026,9,Kucing,1
ewalk,2026,3,Biawak,1
ewalk,2026,3,Kecoa,150
ewalk,2026,4,Kecoa,95
ewalk,2026,7,Kecoa,60
ewalk,2026,2,Ular,1
ewalk,2026,3,Kelelawar,1
pentacity,2026,1,Tikus,55
pentacity,2026,2,Tikus,38
pentacity,2026,3,Tikus,41
pentacity,2026,4,Tikus,30
pentacity,2026,5,Tikus,66
pentacity,2026,6,Tikus,17
pentacity,2026,7,Tikus,112
pentacity,2026,8,Tikus,74
pentacity,2026,9,Tikus,17
pentacity,2026,1,Kucing,2
pentacity,2026,2,Kucing,1
pentacity,2026,3,Kucing,2
pentacity,2026,5,Kucing,2
pentacity,2026,6,Kucing,1
pentacity,2026,7,Kucing,1
pentacity,2026,8,Kucing,1
pentacity,2026,9,Kucing,2
pentacity,2026,1,Biawak,2
pentacity,2026,2,Biawak,1
pentacity,2026,3,Biawak,1
pentacity,2026,1,Kecoa,80
pentacity,2026,2,Kecoa,208
pentacity,2026,3,Kecoa,15
pentacity,2026,7,Kecoa,10
pentacity,2026,8,Kecoa,25
pentacity,2026,2,Kelelawar,1
pentacity,2026,4,Kupu-kupu,1
